State,School_Level,School_Locality,School_Size,Subject,Race,Gender,Experience
RI,Middle,Urban,250to499,ELA,White,Female,3to9
RI,Middle,Suburban,500to999,NatSci,White,Female,3to9
PA,Elementary,Urban,1000Plus,NatSci,White,Female,16Plus
OH,High,Urban,250to499,ELA,White,Female,16Plus
MS,Middle,Suburban,250to499,ELA,White,Female,3to9
RI,High,Rural,250to499,ELA,White,Female,16Plus
KY,Elementary,Urban,500to999,NatSci,White,Female,10to15
NE,High,Rural,1000Plus,Math,White,Female,16Plus
GA,Elementary,Rural,500to999,ELA,White,Female,3to9
AR,Elementary,Rural,500to999,ELA,White,Female,10to15
TX,Elementary,Urban,500to999,ELA,White,Female,3to9
GA,High,Suburban,500to999,ELA,Other,Female,3to9
NE,High,Suburban,500to999,ELA,Other,Male,10to15
GA,Elementary,Town,1000Plus,ELA,White,Female,10to15
NC,Elementary,Town,500to999,NatSci,White,Female,3to9
SC,Middle,Urban,Lessthan250,NatSci,White,Female,10to15
NM,High,Town,1000Plus,NatSci,White,Female,10to15
NM,Elementary,Urban,250to499,ELA,White,Male,16Plus
KY,Elementary,Suburban,250to499,NatSci,White,Female,16Plus
NY,High,Urban,500to999,ELA,White,Female,3to9
MA,Elementary,Suburban,500to999,ELA,Hispanic,Female,3to9
DE,Elementary,Suburban,500to999,NatSci,White,Female,3to9
WV,Elementary,Urban,250to499,ELA,White,Female,16Plus
FL,Elementary,Suburban,250to499,ELA,White,Male,16Plus
CA,Elementary,Suburban,500to999,ELA,White,Female,16Plus
AR,Elementary,Urban,250to499,ELA,White,Female,16Plus
RI,Middle,Urban,1000Plus,ELA,White,Female,10to15
NV,Middle,Rural,250to499,ELA,White,Female,16Plus
NM,High,Urban,250to499,NatSci,White,Female,3to9
IL,Elementary,Urban,Lessthan250,NatSci,White,Female,16Plus
DE,High,Rural,500to999,Math,White,Male,16Plus
RI,Middle,Town,500to999,ELA,White,Male,16Plus
SC,Middle,Town,250to499,ELA,White,Male,16Plus
MS,High,Suburban,250to499,ELA,Black,Male,16Plus
FL,Elementary,Town,1000Plus,ELA,White,Female,3to9
CA,Middle,Suburban,500to999,Math,White,Female,16Plus
TX,High,Rural,500to999,ELA,White,Female,16Plus
MA,Middle,Urban,500to999,NatSci,White,Female,3to9
DE,Middle,Rural,250to499,ELA,White,Female,16Plus
NY,Elementary,Rural,500to999,NatSci,White,Female,10to15
PA,Elementary,Suburban,1000Plus,Math,Hispanic,Female,16Plus
CO,Elementary,Urban,250to499,NatSci,White,Male,16Plus
NE,Elementary,Suburban,1000Plus,ELA,White,Female,3to9
LA,Elementary,Suburban,Lessthan250,NatSci,Black,Male,16Plus
TN,Elementary,Town,500to999,ELA,White,Female,10to15
WI,Middle,Rural,1000Plus,ELA,White,Female,10to15
LA,High,Rural,Lessthan250,ELA,White,Female,16Plus
NM,High,Urban,250to499,ELA,White,Female,3to9
DE,Elementary,Town,500to999,NatSci,White,Female,16Plus
OH,High,Urban,250to499,Math,White,Female,10to15
MS,High,Suburban,1000Plus,ELA,White,Female,16Plus
MD,Middle,Urban,1000Plus,Math,White,Male,16Plus
NC,Middle,Town,250to499,Math,Hispanic,Female,16Plus
DE,Middle,Suburban,500to999,ELA,White,Female,16Plus
OH,High,Suburban,500to999,Math,White,Female,16Plus
NM,Elementary,Town,500to999,NatSci,White,Female,16Plus
KY,Middle,Town,250to499,ELA,Hispanic,Female,16Plus
TX,Elementary,Urban,250to499,Math,White,Female,10to15
TN,Elementary,Town,250to499,ELA,White,Female,16Plus
NC,Elementary,Town,1000Plus,ELA,White,Female,16Plus
NY,Elementary,Suburban,250to499,NatSci,White,Male,10to15
FL,High,Urban,1000Plus,Math,White,Female,16Plus
LA,Elementary,Rural,250to499,NatSci,White,Male,3to9
DE,Elementary,Suburban,500to999,Math,White,Female,16Plus
SC,Elementary,Suburban,250to499,NatSci,White,Female,16Plus
UT,High,Urban,500to999,NatSci,White,Male,3to9
LA,High,Town,250to499,NatSci,Hispanic,Female,10to15
DE,High,Suburban,250to499,Math,White,Male,3to9
CA,Elementary,Suburban,250to499,ELA,White,Female,10to15
KY,High,Rural,500to999,NatSci,White,Female,10to15
WI,High,Rural,1000Plus,Math,Hispanic,Female,16Plus
FL,Elementary,Rural,500to999,Math,White,Female,3to9
MD,Elementary,Suburban,1000Plus,Math,NHPI,Female,16Plus
