State,School_Level,School_Locality,School_Size,Subject,Race,Gender,Experience,pop_total
AK,High,Rural,Lessthan250,ELA,White,Female,3to9,30
AK,High,Urban,1000Plus,Math,White,Female,16Plus,18
AK,High,Urban,250to499,ELA,Black,Female,10to15,8
AL,Elementary,Rural,1000Plus,Math,Hispanic,Male,16Plus,13
AL,Elementary,Rural,1000Plus,Math,White,Female,3to9,8
AL,Elementary,Rural,1000Plus,Math,White,Female,16Plus,12
AL,Elementary,Rural,250to499,ELA,White,Female,10to15,14
AL,Elementary,Rural,250to499,Math,Hispanic,Female,16Plus,14
AL,Elementary,Rural,250to499,Math,White,Female,3to9,8
AL,Elementary,Rural,500to999,ELA,White,Female,3to9,7
AL,Elementary,Rural,500to999,ELA,White,Female,16Plus,18
AL,Elementary,Rural,500to999,Math,White,Female,16Plus,14
AL,Elementary,Rural,500to999,NatSci,White,Female,16Plus,4
AL,Elementary,Rural,Lessthan250,NatSci,White,Male,16Plus,12
AL,Elementary,Suburban,1000Plus,ELA,Black,Male,16Plus,9
AL,Elementary,Suburban,1000Plus,ELA,White,Female,3to9,4
AL,Elementary,Suburban,1000Plus,Math,White,Female,16Plus,17
AL,Elementary,Suburban,1000Plus,NatSci,White,Female,16Plus,20
AL,Elementary,Suburban,250to499,ELA,Multirace,Female,3to9,11
AL,Elementary,Suburban,250to499,ELA,White,Female,3to9,4
AL,Elementary,Suburban,250to499,ELA,White,Female,16Plus,16
AL,Elementary,Suburban,250to499,NatSci,White,Female,3to9,30
AL,Elementary,Suburban,250to499,NatSci,White,Female,16Plus,11
AL,Elementary,Suburban,500to999,ELA,Hispanic,Female,16Plus,15
AL,Elementary,Suburban,500to999,ELA,White,Female,3to9,17
AL,Elementary,Suburban,500to999,ELA,White,Female,10to15,21
AL,Elementary,Suburban,500to999,Math,White,Female,10to15,7
AL,Elementary,Suburban,Lessthan250,NatSci,White,Female,10to15,15
AL,Elementary,Town,1000Plus,Math,White,Female,16Plus,11
AL,Elementary,Town,250to499,ELA,White,Female,16Plus,6
